IncidentNum,incident_type,vic_type,mo,weapon_used,gang_related
125670-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,SUSP TOOK THE COMP'S VEHICLE WITHOUT CONSENT.,,
273361-2018,EVADING ARREST DETENTION,Society/Public,AP FLED FROM AO'S ON FOOT,,
272995-2018,DWI W/OPEN CONTAINER,Government,AP DROVE A MOTOR VEHICLE IN A PUBLIC PLACE WHILE INTOXICATED.,,
151355-2016,OBSTRUCTION OR RETALIATION,Individual,AP STATED HE WOULD ASSAULT OFFICERS BECAUSE HE WAS BEING ARRESTED,Threats,No
274913-2018,TAKE WEAPON FROM AN OFFICER (GUN OR BATON),Law Enforcement Offi,SUSPECT TOOK OUT THE BATON FROM A POLICE OFFICER.,Blunt Object,UNK
100838-2016,OBSTRUCTION OR RETALIATION,Individual,A/P VERBALLY THREATEN OFFICER IN FULL UNIFORM.,Other,No
250361-2018,POSS CONT SUB NOT IN PEN GRP,Government,AP WAS IN POSSESSION OF MARIJUANA,,
247735-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED AND CAUSING A DISTURBANCE IN PUBLIC,,
163992-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,,
268172-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,AP GAVE FICTICTIOUS IDENTIFYING INFORMATION TO OFFICERS,,
273627-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
072787-2018,POSS MARIJUANA <2OZ,Society/Public,THE AP WAS IN POSSESSION OF MARIJUANA,,
268633-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,NO DL,,
251683-2018,PUBLIC INTOXICATION,Government,A/P UNDER THE INFLUENCE OF UNK CONT SUB,,
269875-2018,FOUND PROPERTY (NO OFFENSE),Government,"FOUND PROPERTY, DRUG PARAPHERNALIA, NO OFFENSE.",,
012134-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP VEH. W/O CONSENT,Other,No
239651-2018,PUBLIC INTOXICATION,Government,AP WAS IN PUBLIC HIGH ON METH,,
243958-2018,SEIZED PROPERTY (NO OFFENSE),Government,PROMETHAZINE,,
264059-2018,DWI,Government,AP WAS DRIVING WHILE INTOXICATED,,
231188-2018,PUBLIC INTOXICATION,Government,AP WAS ARRESTED FOR PI AT STATE FAIR OF TEXAS,,
270954-2018,FOUND PROPERTY (NO OFFENSE),Society/Public,FOUND PROPERTY,,
167982-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,KNOWN SUSPECT TOOK COMP'S VEHICLE WITHOUT PERMISSION,,
086523-2020,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,AP TOOK COMP VEH WITHOUT CONSENT.,,
143120-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNKOWN SUSP TOOK VEHICLE WITHOUT CONSENT,,
239062-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
268465-2018,DWI,Government,SUSPECT DROVE A MOTOR VEHICLE WHILE INTOXICATED,,
249080-2018,PUBLIC INTOXICATION,Government,THE AP WAS OBSERVED TO BE INTOXICATED IN PUBLIC,,
187330-2018,"THEFT OF PROP <$2,500 2+PREV CONV (NOT SHOPLIFT) PC31.03 (e4D)",Government,AP TOOK PROPERTY FROM A VEHICLE WITHOUT PERMISSION.,,
253601-2018,DWI,Government,AP WAS DRIVING WHILE INTOXICATED ON A PUBLIC ROAD IN DALLAS TEXAS,,
270368-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,THE A/P WAS IN POSS OF A DIGITAL SCALE USED TO WEIGHT MARIJUANA,,
161366-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,AP INTENTIONALLY SPAT ON ARRESTING OFFICER,Other,UNK
277296-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Government,A/P WAS IN POSSESSION OF ____ GRAMS OF PCP,,
273626-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,,
271883-2018,DWI 2 OR MORE PREV CONV,Government,AP WAS ARRESTED FOR DWI WITH 2 PREV,,
248310-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOX ARREST,,
264958-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOX,,
226099-2018,POSS CONT SUB PEN GRP 1 <1G,Government,A/P WAS IN POSSESSION OF METHAMPHETAMINE.,,
092613-2018,POSS MARIJUANA <2OZ,Society/Public,AP HAD MARIJUANA ON HIS PERSON,,
002628-2019,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
243958-2018,POSS CONT SUB PEN GRP 1 <1G,Government,A/P WAS IN POSSESSION OF HEROIN,,
203443-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT.,,
244475-2018,RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),Society/Public,RECOVED STOLEN GUN,,
172147-2017,PUBLIC INTOXICATION,Government,AP WAS PUBLICLY INTOXICATED,Other,No
266526-2018,POSS CONT SUB PEN GRP 1 <1G,Government,AP WAS IN POSSESSION OF CRACK COCAINE,,
263614-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION.,,
221329-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK COMPS VEH DROVE OFF,Other,No
135855-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKN SUS TOOK COMPS VEHICLE W/O CONSENT,,
148316-2020,PUBLIC INTOXICATION,Government,ARRESTEES WERE INTOXICATED IN A PUBLIC PLACE.,,
247769-2018,POSS MARIJUANA <2OZ,Government,A/P WAS FOUND IN POSSESSION OF MARIJUANA.,,
010561-2019,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
273084-2018,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,AP PUSHED AND SWUNG AT AO'S WHEN BEING PLACED UNDER ARREST.,,
261309-2018,PUBLIC INTOXICATION,Government,A/P WAS OBSERVED IN PUBLIC DRINKING A BEER AND INTOXICATED.,,
229692-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Business,UUMV OF UHAUL BOX TRUCK,,
286407-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,Other,No
274006-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,A/P OPERATED A MOTOR VEH WITH EXPIRED REGISTRATION,,
267632-2018,UNLAWFUL CARRYING WEAPON,Government,"A/P WAS IN POSSESSION OF HANDGUN, AND NARCOTICS",Handgun,
263891-2018,FOUND PROPERTY (NO OFFENSE),Government,FOUND PROPERTY,,
258297-2018,POSS MARIJUANA <2OZ,Government,SUSPECT WAS IN POSSESSION OF MARIJUANA,,
011084-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,Other,No
174509-2016,POSS MARIJUANA <2OZ,Government,THE A/P WAS ARRESTED FOR POSSESION OF MARIJUANA,,
268338-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PLACE.,,
029757-2019,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN PUBLIC,,
243934-2018,PUBLIC INTOXICATION,Government,THE AP WAS INTOXICATED IN PUBLIC,,
194235-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEHICLE,,
253726-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOX,,
277984-2018,POSS CONT SUB PEN GRP 1 <1G,Government,A/P WAS FOUND IN POSSESSION OF METH AND HEROIN.,,
254582-2018,POSS MARIJUANA <2OZ,Government,SUSP WAS IN POSS OF MARIJUANA,,
076187-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESSION OF METHAMPHETAMINE,,
239254-2018,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Government,AP WAS FOUND TO BE  IN POSSESSION OF HEROIN,,
200089-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,AP ARRESTED FOR TRAFFIC VIOLATIONS,,
241015-2018,PUBLIC INTOXICATION,Government,THE SUSPECT WAS INTOXICATED IN PUBLIC.,,
248727-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
065853-2019,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED IN PUBLIC. NFI,,
266181-2018,TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,Government,AP WAS DRIVING WITH SUSPENDED DL AND FMFR,,
163726-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,A/P WAS OPERATING A REPORTED STOELN VEHICLE ON A PUBLIC ROADWAY,,
099108-2019,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED IN PUBLIC,,
253947-2018,PUBLIC INTOXICATION,Government,THE A/P WAS INTOXICATED AND WAS CAUSING A DISTURBANCE,,
268628-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
143774-2019,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC A DANGER TO HERSELF,,
267484-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED AND A DANGER TO HIMSELF AND OTHERS,,
250536-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,AN UNKNOWN SUSP TOOK THE COMP'S VEHICLE W/OUT PERMISSION,,
276169-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,THE AP RESISTED ARREST BY REFUSING TO BE HANDCUFFED.,,
075366-2019,PUBLIC INTOXICATION,Society/Public,AP WAS FOUND TO BE INTOXICATED IN PUBLIC AND DANGER TO SELF,,
268172-2018,BMV,Government,AP TOOK COMPS PROPERTY WITH OUT PERMISSION,,
228676-2018,UNLAWFUL POSS FIREARM BY FELON,Society/Public,.380 BERSA,Handgun,
244344-2018,POSS MARIJUANA <2OZ,Government,AP WAS IN POSSESSION OF MARIJUANA,,
278614-2018,POSS CONT SUB PEN GRP 2-A < OR EQUAL 2 OZ,Government,SUSP WAS IN POSSESSION OF K2,,
258967-2018,PUBLIC INTOXICATION,Government,SUSP WAS INTOXICATED IN A PUBLIC PLACE,,
024596-2019,OTHER OFFENSE - MISDEMEANOR,Government,POSSESSION OF DRUG PARAPHERNALIA,,
271476-2018,OTHER OFFENSE - MISDEMEANOR,Government,AP WAS IN POSSESSION OF DRUG PARAPHERNALIA.,,
278378-2018,PUBLIC INTOXICATION,Government,"AP BANGING ON WRONG APARTMENT DOOR, PASSED OUT ON STAIRS LANDING",,
040677-2019,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED ON POWDER COCAINE,,
036000-2016,PUBLIC INTOXICATION,Government,SUSPECTS WERE INVOLVED IN A DISTURBANCE AT CALL LOCATION,Other,No
266852-2018,PUBLIC INTOXICATION,Government,AP WAS INTOX IN PUBLIC,,
246418-2018,EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),Government,AP FLED FROM AOS WHO WERE ATTEMPTING TO DETAIN HIM,,
155086-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK COMP VEH WITH OUT PERMISSION,,
216609-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT,,
257837-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,A/P TAKE THE COMP VEHICLE W/O PERMISSION.,,
264888-2018,OTHER OFFENSE - MISDEMEANOR,Government,AP DROVE VEHICLE WITH INOPERABLE RIGHT TAIL LIGHT.,,
263144-2018,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Government,AP DUNN WAS SELLING AND WAS IN POSSESSION OF A CONTROL SUBSTANCE,,
065703-2016,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC AND CAUSING A DISTURBANCE.,Other,No
274271-2018,PUBLIC INTOXICATION,Government,PI ARREST,,
200089-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,AP ARRESTED FOR FAIL TO ID INTENTIONALLY PROVIDE FALSE INFO,,
215008-2016,PUBLIC INTOXICATION,Government,A/OS FIND A/P INTOXICATED IN PUBLIC FROM ALCOHOL,Other,No
240163-2018,PUBLIC INTOXICATION,Government,AP WAS PUBLICLY INTOXICATED,,
269963-2018,UNLAWFUL POSS FIREARM BY FELON,Government,A/P (CONVICTED FELON) WAS FOUND IN POSSESSION OF STOLEN FIREARM,Handgun,
249004-2018,MAN DEL CONT SUB PEN GRP 1 <1G,Government,AP WAS IN POSSESION OF 0.8 GRAMS OF COCAINE.,,
259007-2018,OTHER OFFENSE - MISDEMEANOR,Government,SUSPECT WAS IN POSSESION OF DRUG PARAPHERNALIA,,
278187-2018,PUBLIC INTOXICATION,Government,AP WAS UNDER THE INFLUENCE OF NARCOTICS,,
273673-2018,PUBLIC INTOXICATION,Society/Public,A/P APPROACHED A/O AND ASKED WHERE TO FIND DRUGS,,
239937-2018,PUBLIC INTOXICATION,Government,A/P INTOXICATED IN PUBLIC,,
224892-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK THE VICTIMS VEH,,
017944-2019,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED AND A DANGER TO HIMSELF AND OTHERS,,
070640-2019,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION ARREST,,
187470-2018,POSS MARIJUANA <2OZ,Government,THE A/P WAS IN POSSESSION OF 11.2 GRAMS MARIJUANA,,
246999-2018,FLEEING POLICE OFFICER,Government,A/P FAILED TO STOP FOR A/O WHILE DRIVING A VEHICLE,,
277999-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PLACE,,
170101-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP USED COMP'S VEHICLE WITHOUT PERMISSION,,
033502-2017,PUBLIC INTOXICATION,Government,"AP FOUND IN PUBLIC HIGHLY INTOXICATED, UNABLE TO CARE FOR SELF",Other,No
269963-2018,PUBLIC INTOXICATION,Government,A/P WAS UNDER THE INFLUENCE OF NARCOTICS IN PUBLIC,,
278332-2018,DWI W/OPEN CONTAINER,Government,AP DROVE A MOTOR VEHICLE IN A PUBLIC PLACE WHILE INTOXICATED.,,
125670-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,SUSP TOOK THE COMP'S VEHICLE WITHOUT CONSENT.,,
258827-2018,PUBLIC INTOXICATION,Society/Public,INTOXICATED IN PUBLIC,,
247943-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S MOTOR VEHICLE WITHOUT CONSENT.,,
276857-2018,DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,Government,AP DISCHARGED A FIREARM IN THE DALLAS CITY LIMITS.,,
228360-2017,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION.,Other,No
243958-2018,POSS CONT SUB PEN GRP 3 < 28G,Government,A/P WAS IN POSSESSION OF XANAX.,,
136641-2018,UNLAWFUL POSS FIREARM BY FELON,Government,A/P IS A FEON AND WAS IN POSSESSION OF A FIREARM,Handgun,
268622-2018,TRAFFIC VIOLATION - HAZARDOUS,Government,A/P WAS EVADING DETENTION ON TRAFFIC STOP.,,
278614-2018,PUBLIC INTOXICATION,Government,SUSP WAS A DANGER TO SELF BY CAUSING DISTURBANCE DUE TO INTOX,,
243704-2018,DWI 2 OR MORE PREV CONV,Government,AP WAS OPERATING MOTOR VEHICLE UNDER THE INFLUENCE OF ALCOHOL,,
268587-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOX ON SIDEWALK,,
240634-2018,POSS CONT SUB PEN GRP 1 <1G,Government,AP WAS IN POSSESSION OF COCAINE.,,
155086-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,SUSP TOOK COMP VEH WITH OUT PERMISSION,,
247886-2018,DWI,Individual,A/P WAS DRIVING WHILE INTOXICATED.,,
241043-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN PUBLIC.,,
273214-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED,,
263531-2018,OTHER OFFENSE - MISDEMEANOR,Government,SUSPECT WAS OPERATING A MOTOR VEHICLE WITHOUT PROOF OF INSURANCE.,,
261863-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOX,,
174579-2018,PUBLIC INTOXICATION,Government,ARRESTED PERSON WAS INTOXICATED IN PUBLIC,,
239319-2018,DWI,Government,SUSPECT WAS OPERATING A MOTOR VEHICLE WHILE INTOXICATED.,,
069383-2019,PUBLIC INTOXICATION,Society/Public,THE A/P INTOXICATED IN A PUBLIC PLACE.,,
151060-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP STOLE THE LISTED VEHICLE WITHOUT PERMISSION,,
163953-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,A/P TOOK COMP VEHICLE W/O CONSENT.,,
277579-2018,OTHER OFFENSE - MISDEMEANOR,Government,AP WAS IN POSSESSION OF GLASS PIPE. NFI,,
148831-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT COMP'S CONSENT,,
250361-2018,POSS CONT SUB PEN GRP 1 <1G,Government,AP WAS IN POSSESSION OF COCAINE,,
250414-2018,PUBLIC INTOXICATION,Government,THE AP WAS INTOXICATED IN A PUBLIC PLACE,,
124882-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
015547-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,,AN  UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION.,Other,UNK
004493-2019,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
275372-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
253734-2018,DWI 1 PREV CONV,Government,AP WAS DRIVING INTOXICATED ON A PUBLIC STREET IN DALLAS,,
244020-2018,PUBLIC INTOXICATION,Government,A/P WAS ARRESTED FOR PUBLIC INTOXICATION,,
251036-2018,PUBLIC INTOXICATION,Government,SUSP WAS FOUND INTOXICATED AND WALKING IN THE ROADWAY,,
042135-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,UNKNOWN SUSP STOLE COMPS VEHICLE FROM IN FRONT OF RESIDENCE,,
273745-2018,PUBLIC INTOXICATION,Government,SUSP WAS INTOXICATED AND LAYING IN PUBLIC,,
273036-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,AP WAS ARRESTED FOR RESISTING ARREST.,,
259183-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,SUSP FAILED TO USE TURN SIGNAL,,
275403-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,AP ARRESTE3D FOR MULTIPLE TRAFFIC VIOLATIONS,,
061043-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP'S VEH W/O PERMISSION,,
274327-2018,POSS MARIJUANA <2OZ,Government,AP WAS IN POSSESSION OF MARIJUANA.,,
266181-2018,POSS MARIJUANA >2OZ< OR EQUAL 4OZ *DRUG FREE ZONE*,Government,AP WAS IN POSS OF MARIJUANA IN DFZ,,
273229-2018,PUBLIC INTOXICATION,Government,THE A/P WAS INTOXICATED IN PUBLIC. NFI...,,
272251-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
253170-2018,DWI,Government,AP WAS OPERATING A MOTOR VEH WHILE INTOXICATED,,
123576-2018,FLEEING POLICE OFFICER,Individual,SUSP FLED LOC WHEN RO'S WERE CONDUCTING A TRAFFIC STOP,,
087656-2020,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMP'S VEHICLE WITHOUT PERMISSION,,
289697-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,UNKNOWN SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION.,Other,UNK
276867-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
221895-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,UNKNOWN SUSPECT TOOK COMP'S VEHICLE W/OUT PERMISSION,,
241043-2018,POSS CONT SUB PEN GRP 1 <1G,Government,A/P POSSESSED METHAMPHETAMINE.,,
242505-2018,PUBLIC INTOXICATION,Government,AP WAS FOUND LAYING OUTSIDE DISORIENTED,,
278079-2018,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,AP RESISTED ARREST FROM ARRESTING OFFICERS.,,
115027-2019,EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),Government,AP WAS EVADING DETETION,,
129928-2019,PUBLIC INTOXICATION,Society/Public,"AP INTOX IN PUBLIC, DANGER TO SELF",,
126146-2019,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
274253-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN PUBLIC,,
248641-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
010661-2019,PUBLIC INTOXICATION,Government,SUSP UNDER THE INFLUENCE OF DRUGS IN THE MIDDLE OF A PUBLIC ROAD,,
011427-2019,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC,,
026158-2019,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC,,
070642-2019,PUBLIC INTOXICATION,Government,THE AP WAS DRUNK IN PUBLIC.,,
244537-2018,TRAF VIO -RECKLESS DRIVING,Government,ARRESTED PERSON WAS DRIVING IN A RECKLESS MANNER,,
203576-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,,UNKNOWN SUSP STOLE TRUCK,,
279212-2018,PUBLIC INTOXICATION,Society/Public,SUSP WAS INTOXICATED DUE TO SMOKING K2 AND PCP.,,
258240-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOX REPORT.,,
248681-2018,PUBLIC INTOXICATION,Government,SUSP WAS A DANGER TO HERSELF,,
239197-2018,PUBLIC INTOXICATION,Government,A/P WAS UNDER THE INFLUENCE OF ALCOHOL AND UNK NARCOTIC IN PUBLIC,,
251240-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNKNOWN SUSP TOOK COMP'S VEH W/OUT CONSENT.,Other,No
197332-2019,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED IN A PUBLIC PLACE,,
267748-2018,OTHER OFFENSE - MISDEMEANOR,Government,AP WAS IN POSSESSION OF GLASS SHARD PIPES USED FOR CRACK COCAINE,,
254582-2018,DWI,Government,SUSP WAS OPERATING A MOTOR VEHICLE WHILE INTOXICATED.,,
228676-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,0.9 GRAMS OF METHAMPHETAMINE,,
264978-2018,POSS MARIJUANA <2OZ,Government,AP HAD POSS OF MARIJUANA ON HIS PERSON,,
254306-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP VEHICLE WHILE IT WAS RUNNING AT GAS STATION,,
250414-2018,POSS CONT SUB PEN GRP 1 <1G,Government,THE AP WAS IN POSSESSION OF PHENCYCLIDINE,,
239156-2018,"THEFT OF PROP <$2,500 2+PREV CONV (NOT SHOPLIFT) PC31.03 (e4D)",Government,AP TOOK PROPERTY FROM VEHICLE WITHOUT CONSENT,,
122652-2018,MAN DEL CONT SUB PEN GRP 1 <1G,Government,THE ARRESTED PERSON WAS FOUND TO BE IN POSSESSION OF COCAINE,,
243249-2018,POSS CONT SUB PEN GRP 1 <1G,Government,POSS OF CS PG1,,
250579-2018,SEIZED PROPERTY (NO OFFENSE),Government,AP PRISONER PROPERTY,,
243804-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED AND SLEEP ON A PUBLIC SIDEWALK,,
277579-2018,POSS CONT SUB PEN GRP 1 <1G,Government,AO LOCATED WHITE ROCK LIKE SUBSTANCE IN AP'S PURSE. NFI,,
115027-2019,POSS CONT SUB PEN GRP 1 <1G,Government,AP WAS IN POSSESSION OF CONTROLED SUBSTANCE,,
243347-2018,DWI,Government,AP DROVE A MOTOR VEHICLE WHILE INTOXICATED.,,
238656-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
052060-2019,PUBLIC INTOXICATION,Government,AP INTOXICATED,,
245829-2018,POSS MARIJUANA <2OZ,Government,BOTH AP'S WERE IN POSSESSION OF MARIJUANA,,
255529-2018,POSS MARIJUANA <2OZ,Government,AP WAS IN POSSESSION OF MARIJUANA,,
239279-2018,OTHER OFFENSE - MISDEMEANOR,Government,THE A/P WAS ARRESTED FOR VIOLATION OF CITY ORDINANCE.,,
273709-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,,
262048-2018,TRAFFIC VIOLATION - HAZARDOUS,Government,AP FAILED TO SIGNAL INTENT TO TURN.,,
245226-2018,DWI,Government,AP DROVE A MOTOR VEHICLE WHILE INTOXICATED,,
035282-2016,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,Other,No
248574-2018,UNLAWFUL CARRYING WEAPON,Government,AP WAS IN POSSESSION OF A FIREARM,Handgun,
242609-2018,UNLAWFUL POSS FIREARM BY FELON,Government,A/P WAS IN POSSESSION OF A HANDGUN (FELON),Handgun,
252876-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC.,,
061043-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESSION OF NARCOTICS,,
267759-2018,DWI BAC > OR EQUAL TO 0.15,Government,DWI,,
274006-2018,OTHER OFFENSE - MISDEMEANOR,Government,A/P WAS IN POSS OF DRUG PARAPHERNALIA,,
270672-2018,EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),Society/Public,AP FLED ON FOOT FROM ARRESTING OFFICERS,,
268471-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PLACE,,
249910-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
228676-2018,EVADING ARREST DETENTION,Society/Public,AP FLED ON FOOT FROM OFFICERS IN FULL UNIFORM,,
239364-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN PUBLIC,,
263677-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
267970-2018,PUBLIC INTOXICATION,Government,THE AP WAS ARRESTED PUBLIC INTOXICATION.,,
261037-2018,UNLAWFUL POSS FIREARM BY FELON,Government,AP WAS IS POSS OF FIREARM AND CONV FELON,Handgun,
223681-2018,PUBLIC INTOXICATION,Government,SUSP WAS ARREST FOR PUBLIC INTOXICATION,,
261037-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,AP USED FORCE TO PREVENT SEARCH AND ARREST,,
076187-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSSESSION OF MARIJUANA,,
272854-2018,DWI 2 OR MORE PREV CONV,Society/Public,A/P DROVE A MOTOR VEHICLE WHILE INTOXICATED,,
246462-2018,PUBLIC INTOXICATION,Government,SUSP WAS UNDER THE INFLUENCE IN PUBLIC,,
